je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/impl	DTVLSNTest	testDTVLSNPersistence	test/com/sleepycat/je/rep/impl/DTVLSNTest.java	Verify that the DTVLSN becomes consistent across the shard and persists across shutdown.	NOT-PORTED			large	medium	no matching test by name (snake=dtvlsn_persistence); behaviour-level check needed
com/sleepycat/je/rep/impl	DTVLSNTest	testDTVLSN	test/com/sleepycat/je/rep/impl/DTVLSNTest.java	Check the values of the durable transaction VLSN at strategic times to make sure it's tracking changes as expected.	NOT-PORTED			large	medium	no matching test by name (snake=dtvlsn); behaviour-level check needed
com/sleepycat/je/rep/impl	DTVLSNTest	testMultiGenerationalStream	test/com/sleepycat/je/rep/impl/DTVLSNTest.java	Ensure that a log that is created by a master and is replayed to a replica can in turn be used to feed a subsequent replica when it becomes the master.	NOT-PORTED			medium	medium	no matching test by name (snake=multi_generational_stream); behaviour-level check needed
com/sleepycat/je/rep/impl	DTVLSNTest	testDoesNotNeedAcks	test/com/sleepycat/je/rep/impl/DTVLSNTest.java	Verify that DTVLSN(commitVLSN) == commitVLSN for a RG consisting of a single durable node.	NOT-PORTED			large	medium	no matching test by name (snake=does_not_need_acks); behaviour-level check needed
com/sleepycat/je/rep/impl	DTVLSNTest	testSimulatePreDTVLSNGroup	test/com/sleepycat/je/rep/impl/DTVLSNTest.java		NOT-PORTED			large	medium	no matching test by name (snake=simulate_pre_dtvlsn_group); behaviour-level check needed
com/sleepycat/je/rep/impl	DTVLSNTest	testConcurrentDTVLSequence	test/com/sleepycat/je/rep/impl/DTVLSNTest.java	Write concurrently to the environment relying on the checks in HA replay to catch any DTVLSN sequences that are invalid.	NOT-PORTED			large	medium	no matching test by name (snake=concurrent_dtvl_sequence); behaviour-level check needed
com/sleepycat/je/rep/impl	DTVLSNTest	testRollbackNonDurable	test/com/sleepycat/je/rep/impl/DTVLSNTest.java	Verify that we roll back non-durable transactions upon startup without a RollbackProhibitedException.	NOT-PORTED			large	medium	no matching test by name (snake=rollback_non_durable); behaviour-level check needed
com/sleepycat/je/rep/impl	DTVLSNTest	testDTVLSNRanking	test/com/sleepycat/je/rep/impl/DTVLSNTest.java	Verify that in the case of a DTVLSN tie during elections, the one node with the most advanced VLSN wins to minimize the chance of rollbacks.	NOT-PORTED			large	medium	no matching test by name (snake=dtvlsn_ranking); behaviour-level check needed
com/sleepycat/je/rep/impl	DynamicGroupTest	testRemoveMemberExceptions	test/com/sleepycat/je/rep/impl/DynamicGroupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_member_exceptions); behaviour-level check needed
com/sleepycat/je/rep/impl	DynamicGroupTest	testDeleteMemberExceptions	test/com/sleepycat/je/rep/impl/DynamicGroupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=delete_member_exceptions); behaviour-level check needed
com/sleepycat/je/rep/impl	DynamicGroupTest	testRemoveMember	test/com/sleepycat/je/rep/impl/DynamicGroupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_member); behaviour-level check needed
com/sleepycat/je/rep/impl	DynamicGroupTest	testDeleteMember	test/com/sleepycat/je/rep/impl/DynamicGroupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=delete_member); behaviour-level check needed
com/sleepycat/je/rep/impl	DynamicGroupTest	testMemberRemoveAckInteraction	test/com/sleepycat/je/rep/impl/DynamicGroupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=member_remove_ack_interaction); behaviour-level check needed
com/sleepycat/je/rep/impl	DynamicGroupTest	testDeleteRemoveAckInteraction	test/com/sleepycat/je/rep/impl/DynamicGroupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=delete_remove_ack_interaction); behaviour-level check needed
com/sleepycat/je/rep/impl	DynamicGroupTest	testNoQuorum	test/com/sleepycat/je/rep/impl/DynamicGroupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=no_quorum); behaviour-level check needed
com/sleepycat/je/rep/impl	DynamicGroupTest	testGroupCreateMasterFirst	test/com/sleepycat/je/rep/impl/DynamicGroupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=group_create_master_first); behaviour-level check needed
com/sleepycat/je/rep/impl	DynamicGroupTest	testGroupCreateMasterLast	test/com/sleepycat/je/rep/impl/DynamicGroupTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=group_create_master_last); behaviour-level check needed
com/sleepycat/je/rep/impl	DynamicGroupTest	testJoinGroupReadGroupTimeout	test/com/sleepycat/je/rep/impl/DynamicGroupTest.java	Test that a timeout in the feeder while attempting to read the group database because other feeders have it write locked causes the feeder (and replica) to fail, but allows the master to continue oper	NOT-PORTED			medium	medium	no matching test by name (snake=join_group_read_group_timeout); behaviour-level check needed
com/sleepycat/je/rep/impl	GroupDbAckFailureTest	testRetriedCreation	test/com/sleepycat/je/rep/impl/GroupDbAckFailureTest.java	Exercises the scenario where addition of a new node originally fails, and is later retried.	NOT-PORTED			medium	medium	no matching test by name (snake=retried_creation); behaviour-level check needed
com/sleepycat/je/rep/impl	GroupDbAckFailureTest	testIgnoreUpdateFailure	test/com/sleepycat/je/rep/impl/GroupDbAckFailureTest.java	Exercises a scenario in which the application ignores the failure of an updateAddress() operation, and tries to start the moved node anyway.	NOT-PORTED			medium	medium	no matching test by name (snake=ignore_update_failure); behaviour-level check needed
com/sleepycat/je/rep/impl	GroupDbAckFailureTest	testRedundantUpdateAddressOp	test/com/sleepycat/je/rep/impl/GroupDbAckFailureTest.java	Exercises the scenario where the master tries an updateAddress() operation that has already been completed previously.	NOT-PORTED			medium	medium	no matching test by name (snake=redundant_update_address_op); behaviour-level check needed
com/sleepycat/je/rep/impl	GroupDbAckFailureTest	testZombie	test/com/sleepycat/je/rep/impl/GroupDbAckFailureTest.java	Ensure that if an unfortunately timed network partition occurs around the time of an updateAddress() operation, we avoid allowing two masters to emerge both thinking they're authoritative.	NOT-PORTED			medium	medium	no matching test by name (snake=zombie); behaviour-level check needed
com/sleepycat/je/rep/impl	GroupServiceTest	testService	test/com/sleepycat/je/rep/impl/GroupServiceTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=service); behaviour-level check needed
com/sleepycat/je/rep/impl	NetworkPartitionHealingTest	testPostNetworkPartitionMaster	test/com/sleepycat/je/rep/impl/NetworkPartitionHealingTest.java	This test captures the problem described in SR 20572 and related SR 20258.	NOT-PORTED			medium	medium	no matching test by name (snake=post_network_partition_master); behaviour-level check needed
com/sleepycat/je/rep/impl	NetworkPartitionHealingTest	testPostNetworkPartition	test/com/sleepycat/je/rep/impl/NetworkPartitionHealingTest.java	Verifies that a unique master is re-established in the rep group after a network partition involving a split where the master is on the minority side of the network split has been resolved.	NOT-PORTED			large	medium	no matching test by name (snake=post_network_partition); behaviour-level check needed
com/sleepycat/je/rep/impl	NetworkPartitionHealingTest	testDemonstrateCorrectMasterSelection	test/com/sleepycat/je/rep/impl/NetworkPartitionHealingTest.java	This test demonstrates the fix to SR24615, that is a correct master (one with a more advanced DTVLSN, rather than a VLSN) is selected after a network partition.	NOT-PORTED			large	medium	no matching test by name (snake=demonstrate_correct_master_selection); behaviour-level check needed
com/sleepycat/je/rep/impl	RepGroupDBTest	testBasic	test/com/sleepycat/je/rep/impl/RepGroupDBTest.java		PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
com/sleepycat/je/rep/impl	RepGroupDBTest	testInitFailure	test/com/sleepycat/je/rep/impl/RepGroupDBTest.java	This is a test to verify the fix for SR 20607, where a failure during the process of adding a node can result in a circular wait situation.	NOT-PORTED			medium	medium	no matching test by name (snake=init_failure); behaviour-level check needed
com/sleepycat/je/rep/impl	RepGroupDBTest	testRepGroupContention	test/com/sleepycat/je/rep/impl/RepGroupDBTest.java	This test ensures that the replication stream is not blocked due to a conflict on rep group db by a metadata operation requiring acks from the replication stream.	NOT-PORTED			large	medium	no matching test by name (snake=rep_group_contention); behaviour-level check needed
com/sleepycat/je/rep/impl	RepGroupImplCompatibilityTest	testRepGroupImplCompatibilityOldMaster	test/com/sleepycat/je/rep/impl/RepGroupImplCompatibilityTest.java	Test using a master supporting a stream protocol 4, too old to support RepGroupImpl version 3.	NOT-PORTED			medium	medium	no matching test by name (snake=rep_group_impl_compatibility_old_master); behaviour-level check needed
com/sleepycat/je/rep/impl	RepGroupImplCompatibilityTest	testRepGroupImplCompatibilityNewMaster	test/com/sleepycat/je/rep/impl/RepGroupImplCompatibilityTest.java	Test using a master requiring stream protocol 5, too new to support RepGroupImpl version 2.	NOT-PORTED			medium	medium	no matching test by name (snake=rep_group_impl_compatibility_new_master); behaviour-level check needed
com/sleepycat/je/rep/impl	RepGroupImplTest	testSerializeDeserialize	test/com/sleepycat/je/rep/impl/RepGroupImplTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=serialize_deserialize); behaviour-level check needed
com/sleepycat/je/rep/impl	RepGroupProtocolTest	testRepGroupImplV3EnsureNode	test/com/sleepycat/je/rep/impl/RepGroupProtocolTest.java	Test protocol changes to support RepGroupImpl version 3 for EnsureNode.	NOT-PORTED			medium	medium	no matching test by name (snake=rep_group_impl_v3_ensure_node); behaviour-level check needed
com/sleepycat/je/rep/impl	RepGroupProtocolTest	testRepGroupImplV3GroupResponse	test/com/sleepycat/je/rep/impl/RepGroupProtocolTest.java	Test protocol changes to support RepGroupImpl version 3 for GroupResponse.	NOT-PORTED			medium	medium	no matching test by name (snake=rep_group_impl_v3_group_response); behaviour-level check needed
com/sleepycat/je/rep/impl	RepGroupProtocolTest	testInvalidMessageExceptions	test/com/sleepycat/je/rep/impl/RepGroupProtocolTest.java	Test the message format of InvalidMessageExceptions thrown by TextProtocol for malformed messages.	NOT-PORTED			medium	medium	no matching test by name (snake=invalid_message_exceptions); behaviour-level check needed
com/sleepycat/je/rep/impl	ReplayWithBinDeltaInsertionsTest	testRoundRobinMasters	test/com/sleepycat/je/rep/impl/ReplayWithBinDeltaInsertionsTest.java	Create n nodes, startup.	NOT-PORTED			medium	medium	no matching test by name (snake=round_robin_masters); behaviour-level check needed
com/sleepycat/je/rep/impl	RoundRobinTest	testRoundRobinMasters	test/com/sleepycat/je/rep/impl/RoundRobinTest.java	Create n nodes, startup.	NOT-PORTED			medium	medium	no matching test by name (snake=round_robin_masters); behaviour-level check needed
com/sleepycat/je/rep/impl	TextProtocolTestBase	testAllMessages	test/com/sleepycat/je/rep/impl/TextProtocolTestBase.java	Verify that all Protocol messages are idempotent under the serialization/de-serialization sequence.	NOT-PORTED			medium	medium	no matching test by name (snake=all_messages); behaviour-level check needed
