je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/recovery	CheckBINDeltaTest	testBINDelta	test/com/sleepycat/je/recovery/CheckBINDeltaTest.java	SR #11123 Make sure that BIN-deltas are applied only to non-deleted nodes.	NOT-PORTED			medium	critical	no matching test by name (snake=bin_delta); behaviour-level check needed
com/sleepycat/je/recovery	CheckNewRootTest	testWrittenByCompression	test/com/sleepycat/je/recovery/CheckNewRootTest.java	Create a tree, make sure the root changes and is logged before any checkpointing.	NOT-PORTED			large	critical	no matching test by name (snake=written_by_compression); behaviour-level check needed
com/sleepycat/je/recovery	CheckNewRootTest	testWrittenBySplit	test/com/sleepycat/je/recovery/CheckNewRootTest.java	Create a tree, make sure the root changes and is logged before any checkpointing.	NOT-PORTED			large	critical	no matching test by name (snake=written_by_split); behaviour-level check needed
com/sleepycat/je/recovery	CheckNewRootTest	testChangeAndEvictRoot	test/com/sleepycat/je/recovery/CheckNewRootTest.java	Make sure eviction doesn't evict roots.	NOT-PORTED			large	critical	no matching test by name (snake=change_and_evict_root); behaviour-level check needed
com/sleepycat/je/recovery	CheckReverseSplitsTest	testReverseSplit	test/com/sleepycat/je/recovery/CheckReverseSplitsTest.java	SR #13501 Reverse splits require the same upward propagation as regular splits, to avoid logging inconsistent versions of ancestor INs.	NOT-PORTED			large	critical	no matching test by name (snake=reverse_split); behaviour-level check needed
com/sleepycat/je/recovery	CheckReverseSplitsTest	testReverseSplitDups	test/com/sleepycat/je/recovery/CheckReverseSplitsTest.java		NOT-PORTED			large	critical	no matching test by name (snake=reverse_split_dups); behaviour-level check needed
com/sleepycat/je/recovery	CheckReverseSplitsTest	testCompleteRemoval	test/com/sleepycat/je/recovery/CheckReverseSplitsTest.java	Create a tree, remove it all, replace with new records.	NOT-PORTED			medium	critical	no matching test by name (snake=complete_removal); behaviour-level check needed
com/sleepycat/je/recovery	CheckReverseSplitsTest	testCompleteRemovalDups	test/com/sleepycat/je/recovery/CheckReverseSplitsTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=complete_removal_dups); behaviour-level check needed
com/sleepycat/je/recovery	CheckSplitAuntTest	testSplitAunt	test/com/sleepycat/je/recovery/CheckSplitAuntTest.java		NOT-PORTED			large	critical	no matching test by name (snake=split_aunt); behaviour-level check needed
com/sleepycat/je/recovery	CheckSplitsTest	testBasicInsert	test/com/sleepycat/je/recovery/CheckSplitsTest.java	Test basic inserts.	NOT-PORTED			medium	critical	no matching test by name (snake=basic_insert); behaviour-level check needed
