je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/vlsn	MergeTest	testMerge	test/com/sleepycat/je/rep/vlsn/MergeTest.java	Test the tricky business of recovering the VLSNIndex.	NOT-PORTED			large	medium	no matching test by name (snake=merge); behaviour-level check needed
com/sleepycat/je/rep/vlsn	MergeTest	testSingleRBMerge	test/com/sleepycat/je/rep/vlsn/MergeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=single_rb_merge); behaviour-level check needed
com/sleepycat/je/rep/vlsn	MergeTest	testMultiRBMerge	test/com/sleepycat/je/rep/vlsn/MergeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=multi_rb_merge); behaviour-level check needed
com/sleepycat/je/rep/vlsn	MergeTest	testRBInRecoveryLogMerge	test/com/sleepycat/je/rep/vlsn/MergeTest.java		NOT-PORTED			large	medium	no matching test by name (snake=rb_in_recovery_log_merge); behaviour-level check needed
com/sleepycat/je/rep/vlsn	SyncupWithGapsTest	testReplicaHasOneGapNetworkRestore	test/com/sleepycat/je/rep/vlsn/SyncupWithGapsTest.java		NOT-PORTED			large	medium	no matching test by name (snake=replica_has_one_gap_network_restore); behaviour-level check needed
com/sleepycat/je/rep/vlsn	SyncupWithGapsTest	testReplicaHasMultipleGapsNetworkRestore	test/com/sleepycat/je/rep/vlsn/SyncupWithGapsTest.java		NOT-PORTED			large	medium	no matching test by name (snake=replica_has_multiple_gaps_network_restore); behaviour-level check needed
com/sleepycat/je/rep/vlsn	SyncupWithGapsTest	testReplicaHasGap	test/com/sleepycat/je/rep/vlsn/SyncupWithGapsTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=replica_has_gap); behaviour-level check needed
com/sleepycat/je/rep/vlsn	SyncupWithGapsTest	testFeederHasGap	test/com/sleepycat/je/rep/vlsn/SyncupWithGapsTest.java	On the master, generate a log that has section A: a lot of records packed together section B: a lot of junk that gets cleaned away, creating a gap in the log section C: a new section of data Bring the	NOT-PORTED			medium	medium	no matching test by name (snake=feeder_has_gap); behaviour-level check needed
com/sleepycat/je/rep/vlsn	VLSNAwaitConsistencyTest	testLoggingFailure	test/com/sleepycat/je/rep/vlsn/VLSNAwaitConsistencyTest.java	Make a thread allocate a vlsn, but then fail before it's tracked by the vlsn index.	NOT-PORTED			large	medium	no matching test by name (snake=logging_failure); behaviour-level check needed
com/sleepycat/je/rep/vlsn	VLSNBucketTest	testBasic	test/com/sleepycat/je/rep/vlsn/VLSNBucketTest.java		PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	medium	name-match heuristic
