je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/tree	BinDeltaTest	testSimple	test/com/sleepycat/je/tree/BinDeltaTest.java	Simple test, delta a BIN several times, reconstruct.	PORTED-EQUIVALENT	crates/noxu-txn/src/lock_result.rs	test_simple	small	critical	name-match heuristic
com/sleepycat/je/tree	BinDeltaTest	testUndo	test/com/sleepycat/je/tree/BinDeltaTest.java	Test that a delta is correctly generated when there are entries that have been aborted and rolled back.	NOT-PORTED			medium	critical	no matching test by name (snake=undo); behaviour-level check needed
com/sleepycat/je/tree	CountEstimatorTest	testDupsInsertSequential	test/com/sleepycat/je/tree/CountEstimatorTest.java	When insertions are sequential, the estimate is always correct because all INs (except on the right edge of the btree) have the same number of entries.	NOT-PORTED			medium	critical	no matching test by name (snake=dups_insert_sequential); behaviour-level check needed
com/sleepycat/je/tree	CountEstimatorTest	testDupsInsertNonSequential	test/com/sleepycat/je/tree/CountEstimatorTest.java	When insertions are non-sequential, the estimate may be off by a factor of two.	NOT-PORTED			medium	critical	no matching test by name (snake=dups_insert_non_sequential); behaviour-level check needed
com/sleepycat/je/tree	CountEstimatorTest	testDPL	test/com/sleepycat/je/tree/CountEstimatorTest.java	EntityIndex.countEstimate simply forwards to Cursor.countEstimate, but we should still call it once.	NOT-PORTED			medium	critical	no matching test by name (snake=dpl); behaviour-level check needed
com/sleepycat/je/tree	DupConvertTest	testLogWithSingletonLN	test/com/sleepycat/je/tree/DupConvertTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=log_with_singleton_ln); behaviour-level check needed
com/sleepycat/je/tree	DupConvertTest	testLogWithDIN	test/com/sleepycat/je/tree/DupConvertTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=log_with_din); behaviour-level check needed
com/sleepycat/je/tree	DupConvertTest	testLogWithDeleteLNCommit	test/com/sleepycat/je/tree/DupConvertTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=log_with_delete_ln_commit); behaviour-level check needed
com/sleepycat/je/tree	DupConvertTest	testLogWithDeleteLNNoCommit	test/com/sleepycat/je/tree/DupConvertTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=log_with_delete_ln_no_commit); behaviour-level check needed
com/sleepycat/je/tree	DupConvertTest	testLogWithMixIN	test/com/sleepycat/je/tree/DupConvertTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=log_with_mix_in); behaviour-level check needed
