je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/rep/arb	ArbiterTest	testNegative	test/com/sleepycat/je/rep/arb/ArbiterTest.java	Test to insure there is an exception if the envHome parameter is null and if the arbiter home directory does not exist @throws DatabaseException	OUT-OF-SCOPE			small	low	Arbiter node tests; Noxu's NodeType has Arbiter variant but the role is not implemented (per claim audit)
com/sleepycat/je/rep/arb	ArbiterTest	testTimeout	test/com/sleepycat/je/rep/arb/ArbiterTest.java	Test to make sure that an UnKnownMasterException is thrown if an arbiter cannot communicate with the group.	OUT-OF-SCOPE			small	low	Arbiter node tests; Noxu's NodeType has Arbiter variant but the role is not implemented (per claim audit)
com/sleepycat/je/rep/arb	ArbiterTest	testReplicaDown	test/com/sleepycat/je/rep/arb/ArbiterTest.java	Test to insure that the Arbiter acks transactions when the Replica node is down.	OUT-OF-SCOPE			small	low	Arbiter node tests; Noxu's NodeType has Arbiter variant but the role is not implemented (per claim audit)
com/sleepycat/je/rep/arb	ArbiterTest	testReplicaDownActiveXact	test/com/sleepycat/je/rep/arb/ArbiterTest.java	Test to insure that the Arbiter acks transactions when the Replica node is down.	OUT-OF-SCOPE			small	low	Arbiter node tests; Noxu's NodeType has Arbiter variant but the role is not implemented (per claim audit)
com/sleepycat/je/rep/arb	ArbiterTest	testSlowReplica	test/com/sleepycat/je/rep/arb/ArbiterTest.java	This tests that a slow responding ack from a replica will not throw an InsufficientAckException if the Arbiter has acked the transaction.	OUT-OF-SCOPE			small	low	Arbiter node tests; Noxu's NodeType has Arbiter variant but the role is not implemented (per claim audit)
com/sleepycat/je/rep/arb	ArbiterTest	testTwoArbiters	test/com/sleepycat/je/rep/arb/ArbiterTest.java	Test that two Arbiters can not join the same replication group.	OUT-OF-SCOPE			small	low	Arbiter node tests; Noxu's NodeType has Arbiter variant but the role is not implemented (per claim audit)
com/sleepycat/je/rep/arb	ArbiterTest	testArbsSameDir	test/com/sleepycat/je/rep/arb/ArbiterTest.java	Test that two Arbiter cannot be booted using the same directory at the same time.	OUT-OF-SCOPE			small	low	Arbiter node tests; Noxu's NodeType has Arbiter variant but the role is not implemented (per claim audit)
com/sleepycat/je/rep/arb	ArbiterTest	testMasterDown	test/com/sleepycat/je/rep/arb/ArbiterTest.java	Test that the rep group consisting of a master, replica and arbiter can have write availablity when the master becomes unavailable.	OUT-OF-SCOPE			small	low	Arbiter node tests; Noxu's NodeType has Arbiter variant but the role is not implemented (per claim audit)
com/sleepycat/je/rep/arb	ArbiterTest	testOneMaster	test/com/sleepycat/je/rep/arb/ArbiterTest.java	Test that the Arbiter prevents a node from becoming Master due to its VLSN lower than the Arbiters.	OUT-OF-SCOPE			small	low	Arbiter node tests; Noxu's NodeType has Arbiter variant but the role is not implemented (per claim audit)
com/sleepycat/je/rep/arb	ArbiterTest	testBootOrderArbFirst	test/com/sleepycat/je/rep/arb/ArbiterTest.java	Test booting the Arbiter first followed by two Replication nodes.	OUT-OF-SCOPE			small	low	Arbiter node tests; Noxu's NodeType has Arbiter variant but the role is not implemented (per claim audit)
