je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/log	BufferPoolReadLatchTest	testBufferPoolReadLatch	test/com/sleepycat/je/log/BufferPoolReadLatchTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=buffer_pool_read_latch); behaviour-level check needed
com/sleepycat/je/log	FSyncManagerTest	testBasic	test/com/sleepycat/je/log/FSyncManagerTest.java		PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	critical	name-match heuristic
com/sleepycat/je/log	FSyncManagerTest	testSimulatedFsync	test/com/sleepycat/je/log/FSyncManagerTest.java	Simulates fsync by maintaining a map of entries that represent writes.	NOT-PORTED			medium	critical	no matching test by name (snake=simulated_fsync); behaviour-level check needed
com/sleepycat/je/log	FileEdgeCaseTest	testPostChecksumError	test/com/sleepycat/je/log/FileEdgeCaseTest.java	SR #15133 Create a JE environment with a single log file and a checksum exception in the second entry in the log file.	NOT-PORTED			medium	critical	no matching test by name (snake=post_checksum_error); behaviour-level check needed
com/sleepycat/je/log	FileEdgeCaseTest	testFindCommittedTxn	test/com/sleepycat/je/log/FileEdgeCaseTest.java	[#18307] Suppose we have LSN 1000, and the log entry there has a checksum exception.	NOT-PORTED			medium	critical	no matching test by name (snake=find_committed_txn); behaviour-level check needed
com/sleepycat/je/log	FileManagerMultiDataDirTest	testMultipleDataDirs1	test/com/sleepycat/je/log/FileManagerMultiDataDirTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=multiple_data_dirs1); behaviour-level check needed
com/sleepycat/je/log	FileManagerMultiDataDirTest	testMultipleDataDirs2	test/com/sleepycat/je/log/FileManagerMultiDataDirTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=multiple_data_dirs2); behaviour-level check needed
com/sleepycat/je/log	FileManagerMultiDataDirTest	testMultipleDataDirs3	test/com/sleepycat/je/log/FileManagerMultiDataDirTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=multiple_data_dirs3); behaviour-level check needed
com/sleepycat/je/log	FileManagerMultiDataDirTest	testMultipleDataDirs4	test/com/sleepycat/je/log/FileManagerMultiDataDirTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=multiple_data_dirs4); behaviour-level check needed
com/sleepycat/je/log	FileManagerMultiDataDirTest	testMultipleDataDirs5	test/com/sleepycat/je/log/FileManagerMultiDataDirTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=multiple_data_dirs5); behaviour-level check needed
com/sleepycat/je/log	FileManagerMultiDataDirTest	testMultipleDataDirs6	test/com/sleepycat/je/log/FileManagerMultiDataDirTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=multiple_data_dirs6); behaviour-level check needed
com/sleepycat/je/log	FileManagerTest	testLsnBumping	test/com/sleepycat/je/log/FileManagerTest.java	Test LSN administration.	NOT-PORTED			medium	critical	no matching test by name (snake=lsn_bumping); behaviour-level check needed
com/sleepycat/je/log	FileManagerTest	testSetLastPosition	test/com/sleepycat/je/log/FileManagerTest.java	Test initializing the last position in the logs.	PORTED-EQUIVALENT	crates/noxu-log/src/file_manager.rs	test_set_last_position	small	critical	name-match heuristic
com/sleepycat/je/log	FileManagerTest	testFileNameFormat	test/com/sleepycat/je/log/FileManagerTest.java	Test log file naming.	PORTED-EQUIVALENT	crates/noxu-log/tests/je_file_manager_test.rs	je_file_manager_file_name_format_round_trips_via_listing	medium	critical	wave9-c port; noxu uses .ndb suffix instead of .jdb, same 8-hex-digit format
com/sleepycat/je/log	FileManagerTest	testFileCreation	test/com/sleepycat/je/log/FileManagerTest.java	Test log file creation.	PORTED-EQUIVALENT	crates/noxu-log/tests/je_file_manager_test.rs	je_file_manager_list_only_returns_ndb_files	medium	critical	wave9-c port; list_file_numbers returns only valid .ndb files, decoys ignored
com/sleepycat/je/log	FileManagerTest	testLastFile	test/com/sleepycat/je/log/FileManagerTest.java	Make sure we can find the last file.	PORTED-EQUIVALENT	crates/noxu-log/tests/je_file_manager_test.rs	je_file_manager_last_file_skips_decoys	medium	critical	wave9-c port; get_last_file_num + get_first_file_num behaviour
com/sleepycat/je/log	FileManagerTest	testFollowingFile	test/com/sleepycat/je/log/FileManagerTest.java	Make sure we can find the next file in a set of files.	OUT-OF-SCOPE			medium	critical	noxu's FileManager has no get_following_file_num public API
com/sleepycat/je/log	FileManagerTest	testBadHeader	test/com/sleepycat/je/log/FileManagerTest.java	See if we can catch a file with an invalid header.	NOT-PORTED			medium	critical	no matching test by name (snake=bad_header); behaviour-level check needed
com/sleepycat/je/log	FileManagerTest	testTruncatedHeader	test/com/sleepycat/je/log/FileManagerTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=truncated_header); behaviour-level check needed
com/sleepycat/je/log	FileManagerTest	testCache	test/com/sleepycat/je/log/FileManagerTest.java	Test the file cache.	NOT-PORTED			medium	critical	no matching test by name (snake=cache); behaviour-level check needed
com/sleepycat/je/log	FileManagerTest	testFlipFile	test/com/sleepycat/je/log/FileManagerTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=flip_file); behaviour-level check needed
com/sleepycat/je/log	FileReaderBufferingTest	testBasic	test/com/sleepycat/je/log/FileReaderBufferingTest.java	Should overflow once and then grow.	PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	critical	name-match heuristic
com/sleepycat/je/log	FileReaderBufferingTest	testCantGrow	test/com/sleepycat/je/log/FileReaderBufferingTest.java	Should overflow once and then grow.	NOT-PORTED			medium	critical	no matching test by name (snake=cant_grow); behaviour-level check needed
com/sleepycat/je/log	FileReaderBufferingTest	testReachMax	test/com/sleepycat/je/log/FileReaderBufferingTest.java	Should overflow, grow, and then reach the max.	NOT-PORTED			medium	critical	no matching test by name (snake=reach_max); behaviour-level check needed
com/sleepycat/je/log	FileReaderTest	testEmptyExtraFile	test/com/sleepycat/je/log/FileReaderTest.java	Test edge cases for file reading.	NOT-PORTED			medium	critical	no matching test by name (snake=empty_extra_file); behaviour-level check needed
com/sleepycat/je/log	FileReaderTest	testNonDefaultParams	test/com/sleepycat/je/log/FileReaderTest.java	Check that we can read a log with various non-default parameters set.	NOT-PORTED			medium	critical	no matching test by name (snake=non_default_params); behaviour-level check needed
com/sleepycat/je/log	INFileReaderTest	testNoFile	test/com/sleepycat/je/log/INFileReaderTest.java	Test no log file	NOT-PORTED			medium	critical	no matching test by name (snake=no_file); behaviour-level check needed
com/sleepycat/je/log	INFileReaderTest	testEmpty	test/com/sleepycat/je/log/INFileReaderTest.java	Run with an empty file	PORTED-EQUIVALENT	crates/noxu-bind/src/byte_array_binding.rs	test_empty	small	critical	name-match heuristic
com/sleepycat/je/log	INFileReaderTest	testBasic	test/com/sleepycat/je/log/INFileReaderTest.java	Run with defaults, read whole log	PORTED-EQUIVALENT	crates/noxu-rep/src/vlsn/vlsn_bucket.rs	test_basic	small	critical	name-match heuristic
com/sleepycat/je/log	INFileReaderTest	testTracking	test/com/sleepycat/je/log/INFileReaderTest.java	Run with very small buffers and track IDs	NOT-PORTED			medium	critical	no matching test by name (snake=tracking); behaviour-level check needed
com/sleepycat/je/log	INFileReaderTest	testMiddleStart	test/com/sleepycat/je/log/INFileReaderTest.java	Start in the middle of the file	NOT-PORTED			medium	critical	no matching test by name (snake=middle_start); behaviour-level check needed
com/sleepycat/je/log	IOExceptionTest	testLogBufferOverflowAbortNoDupes	test/com/sleepycat/je/log/IOExceptionTest.java		NOT-PORTED			medium	critical	no matching test by name (snake=log_buffer_overflow_abort_no_dupes); behaviour-level check needed
